,0,1,2
0,0.96772385,0.024158075,0.008118121
1,0.9862119,0.011456295,0.0023317733
2,0.117472686,0.7072912,0.17523615
3,0.05337864,0.39546835,0.55115306
4,0.9792266,0.020526461,0.00024703878
5,0.026770417,0.97227144,0.00095809705
6,0.029285777,0.96410966,0.00660463
7,0.007528764,0.74730325,0.24516799
8,0.9938739,0.0047189095,0.0014072409
9,0.9740921,0.020296875,0.0056110844
10,0.008867339,0.6254201,0.36571258
11,0.9400083,0.048479903,0.011511864
12,0.97054696,0.013636228,0.015816782
13,0.0115195215,0.6794925,0.30898792
14,0.01449539,0.98390025,0.0016044106
15,0.027834902,0.96508855,0.0070765903
16,0.011356112,0.91415715,0.07448674
17,0.9305049,0.0673169,0.0021781153
18,0.99375165,0.005917334,0.00033103046
19,0.91664696,0.0730202,0.010332806
20,0.7700348,0.1565206,0.07344451
21,0.025541063,0.9584581,0.016000796
22,0.9847168,0.010034168,0.0052491003
23,0.9698818,0.028283961,0.001834328
24,0.6342459,0.3354917,0.03026247
25,0.0072166314,0.98076046,0.012022934
26,0.9854312,0.008650698,0.0059181796
27,0.9643757,0.031672142,0.003952186
28,0.9502648,0.029023055,0.020712119
29,0.98837245,0.010979673,0.00064785214
30,0.9938011,0.0033556726,0.0028431443
31,0.0075743604,0.98805153,0.004374115
32,0.9248017,0.07214459,0.0030537536
33,0.022843659,0.9689937,0.008162646
34,0.98934555,0.009129387,0.0015250612
35,0.9895011,0.0093266135,0.0011722415
36,0.8219981,0.17338726,0.0046146093
37,0.017897995,0.9815469,0.0005550782
38,0.96775603,0.027382776,0.004861175
39,0.036142804,0.9595566,0.004300606
40,0.007763979,0.46373582,0.5285002
41,0.9270277,0.06979582,0.0031765122
42,0.010598715,0.98625517,0.0031461483
43,0.0026663498,0.041168492,0.9561652
44,0.90341306,0.09340725,0.0031796843
45,0.057548806,0.9376525,0.004798646
46,0.97631156,0.017635297,0.006053186
47,0.008628302,0.9861003,0.005271305
48,0.011560596,0.94196784,0.046471626
49,0.009326147,0.9713117,0.019362234
50,0.7993188,0.19354352,0.00713777
51,0.91368484,0.02635383,0.05996127
52,0.0057041077,0.99099886,0.0032971713
53,0.0101136435,0.9833262,0.006560286
54,0.90298736,0.09017584,0.00683677
55,0.9794846,0.020060016,0.0004554204
56,0.09767181,0.3601237,0.5422045
57,0.13504475,0.23194726,0.633008
58,0.008835384,0.9308112,0.060353406
59,0.8141308,0.1784313,0.007437922
60,0.9829178,0.015056441,0.0020257526
61,0.011531147,0.96164143,0.026827412
62,0.9804221,0.0191841,0.00039379287
63,0.9538022,0.026702391,0.019495431
64,0.9156013,0.078823134,0.0055755065
65,0.5345789,0.3882934,0.077127695
66,0.9450446,0.049034286,0.0059210937
67,0.0034774658,0.9959378,0.00058460975
68,0.027562069,0.9718554,0.00058257964
69,0.99554944,0.0041619637,0.00028862292
70,0.99411654,0.004399567,0.0014839052
71,0.04086811,0.94716585,0.01196602
72,0.7925002,0.20213585,0.005363896
73,0.90390825,0.0796358,0.016455969
74,0.9008256,0.09659949,0.0025749223
75,0.9225966,0.067886025,0.009517405
76,0.005504506,0.99399865,0.0004969062
77,0.9843694,0.014507394,0.0011232327
78,0.014685266,0.9829724,0.0023423228
79,0.987851,0.011465108,0.00068387674
80,0.049541935,0.9260856,0.024372507
81,0.9769705,0.021814728,0.0012148139
82,0.8791449,0.10932742,0.011527669
83,0.99446917,0.004177679,0.0013532043
84,0.8485559,0.12611467,0.025329422
85,0.64286697,0.3439315,0.013201591
86,0.018783657,0.29833916,0.6828772
87,0.98800486,0.011122664,0.0008724835
88,0.95821905,0.023333577,0.018447403
89,0.0055956487,0.99363816,0.0007662393
90,0.021730311,0.26845858,0.7098111
91,0.015591467,0.8416749,0.14273363
92,0.983634,0.013945662,0.002420305
93,0.9160236,0.08186447,0.0021119406
94,0.9114163,0.08734155,0.0012421006
95,0.007063382,0.9923379,0.00059872266
96,0.009850791,0.9893149,0.0008343052
